title,Ni,series,x,y
y-axis,Leaching ratio(%),25℃ 2%NH3-1.2%CO2,15,-0.274505757
x-axis,time(min),25℃ 7%NH3-4.2%CO2,30,-0.297895036
,,25℃ 15%NH3-9%CO2,60,-0.256853433
,,50℃ 2%NH3-1.2%CO2,90,-0.243070166
,,50℃ 7%NH3-4.2%CO2,120,-0.19834472
,,50℃ 15%NH3-9%CO2,,-0.314046813
,,,,-0.350104392
,,,,-0.259583042
,,,,-0.221761799
,,,,-0.163466985
,,,,-0.436167339
,,,,-0.404685903
,,,,-0.359415257
,,,,-0.355173241
,,,,-0.345570926
,,,,-0.265567164
,,,,-0.274063544
,,,,-0.270245461
,,,,-0.208452014
,,,,-0.144888145
,,,,-0.308439207
,,,,-0.248481377
,,,,-0.247447722
,,,,-0.172804085
,,,,-0.143354626
,,,,-0.402416634
,,,,-0.217331583
,,,,-0.114444447
,,,,-0.236351146
,,,,-0.22667572